Designator,Footprint,Quantity,Value,LCSC Part #
D1,0805,1,PowerIN,C2297
D2,0805,1,Power5V,C2297
D3,D_SMA_Handsoldering,1,ProtecciónInput5V,C8678
J1,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,1,Alimentación,C428721
J10,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,5V Output,C158012
J11,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,3.3V Output,C158012
J2,DSUB-9_Socket_Vertical_P2.77x2.84mm_MountingHoles,1,CAN_Externo,C183530
"J3, J4",PinHeader_2x01_P2.54mm_Vertical,2,Jumper CAN,C492401
"J5, J7",PinSocket_1x22_P2.54mm_Vertical,2,Lado izquierdo,C7499337
"J6, J8",PinSocket_1x22_P2.54mm_Vertical,2,Lado derecho,C7499337
J9,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Led_Pow_Ext,C158012
R1,0603,1,4.7K,C23162
R2,0603,1,1K,C21190
"R3, R5",0603,2,10K,C25804
"R4, R6",0603,2,120R,C22787
R7,0603,1,200R,C8218
"U1, U2",SOIC-8_3.9x4.9mm_P1.27mm,2,SN65HVD230,C12084
