Designator,Mid X,Mid Y,Rotation,Layer
D1,125.5,-171.5,90.0,top
D2,171.0,-170.5,90.0,top
D3,139.0,-158.0,0.0,top
J1,131.0,-167.0,90.0,top
J10,148.0,-169.25,90.0,top
J11,118.75,-168.5,0.0,top
J2,137.0,-117.54,90.0,top
J3,132.77,-149.0,0.0,top
J4,141.23,-149.0,180.0,top
J5,103.27,-130.07,180.0,top
J6,126.13,-130.07,180.0,top
J7,147.87,-130.07,180.0,top
J8,170.73,-130.07,180.0,top
J9,156.0,-169.25,90.0,top
PS1,138.25,-167.5,270.0,top
R1,125.5,-167.0,0.0,top
R2,167.0,-170.5,90.0,top
R3,132.8,-135.0,0.0,top
R4,132.7,-153.0,0.0,top
R5,141.2,-144.5,0.0,top
R6,141.2,-153.0,0.0,top
R7,164.0,-170.5,90.0,top
U1,132.8,-140.0,270.0,top
U2,141.2,-140.0,90.0,top
